,result,table,_time,_value,_field,_measurement,asset_id
,_result,0,2026-08-28T06:55:37Z,31.645467563131135,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:56:43Z,31.601827294191793,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:57:50Z,31.415909105934254,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:58:56Z,30.345056374153977,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T07:00:18Z,30.15876946190778,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T07:01:28Z,30.246468623335446,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T07:02:37Z,28.88372803633481,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T07:03:43Z,28.327939625434365,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T07:04:49Z,28.313077737804058,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T07:05:55Z,29.09338441646284,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T07:07:00Z,29.66215909152399,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T07:08:05Z,29.77818136406679,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T07:09:10Z,28.228176954846752,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T07:10:15Z,27.695893868392726,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T07:11:23Z,27.82930570787491,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T07:12:29Z,26.735173995512437,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T07:13:34Z,27.740091796858707,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T07:14:40Z,28.24871425780109,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T07:15:47Z,28.297639980460758,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T07:16:53Z,29.05947798632253,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T07:17:58Z,28.807334590425768,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T07:19:04Z,29.158024213298035,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T07:20:10Z,29.694656949308623,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T07:51:24Z,28.061409864516033,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T08:22:35Z,28.51224690516122,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T05:01:54Z,27.134809999999998,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T05:21:33Z,32.1,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T05:03:01Z,28.293916999999997,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T05:04:08Z,27.774161899999996,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T05:22:40Z,32.1,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T05:23:47Z,32.1,air_temperature,asset_processed,maize_farm_001
,_result,1,2026-08-28T04:38:01Z,29.6688,air_temperature,asset_telemetry,maize_farm_001
,_result,1,2026-08-28T04:38:18Z,30.1902,air_temperature,asset_telemetry,maize_farm_001
,_result,1,2026-08-28T04:38:35Z,24.5702,air_temperature,asset_telemetry,maize_farm_001
,_result,1,2026-08-28T04:38:52Z,28.2231,air_temperature,asset_telemetry,maize_farm_001
,_result,1,2026-08-28T04:39:09Z,30.998,air_temperature,asset_telemetry,maize_farm_001
,_result,1,2026-08-28T04:39:26Z,27.9456,air_temperature,asset_telemetry,maize_farm_001
,_result,1,2026-08-28T04:39:43Z,24.8981,air_temperature,asset_telemetry,maize_farm_001
